"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"208","06031228","陽伸工業股份有限公司","臺中市東區天乙街68號","洪光輝","2000000","1040909"
"209","06081541","聖思工業股份有限公司","南投縣南投市永豐里工業路49號","江志強","4200000","1040914"
"210","06373596","億進寢具企業有限公司","臺南市南區尊南街226號1樓、228號1樓、232號1樓、234號1樓","柯崑龍","100000000","1040907"
"211","06667446","京城建設股份有限公司","高雄市苓雅區中正一路120號16樓之2","蔡天贊","3838202290","1040930"
"212","06785289","漢業廣告股份有限公司","高雄市苓雅區四維二路146號14樓之1","","10000000","1040923"
"213","07033603","大順行工程股份有限公司","桃園市蘆竹區營盤里六福一路195巷1弄8號","黃漢川","65000000","1040916"
"214","07065914","文得股份有限公司","新北市樹林區柑園街2段363巷8號","陳柏名","2000000","1040930"
"215","07126004","國茶企業股份有限公司","臺北市大同區延平北路2段83號10樓","鄭翔中","123120000","1040914"
"216","07183428","邦德股份有限公司","臺北市松山區敦化南路1段21號6樓","廖武雄","10000000","1040922"
"217","07220508","東培工業股份有限公司","臺北市大安區忠孝東路4段142號10樓","陳　成","1257232620","1040914"
"218","07231006","亞細亞貿易有限公司","臺中市西屯區協和里工業區32路72號1樓","王貞貞","20000000","1040917"
"219","07305105","台灣豐田通商股份有限公司","臺北市信義區松仁路101號5樓","小澤 哲","142485000","1040921"
"220","07330408","高原貿易有限公司","高雄市仁武區京富路30巷11弄10號3樓","吳玉瑜","5000000","1040929"
"221","07339724","通元實業有限公司","臺北市大安區敦化南路2段63巷56號3樓","陳因德","10000000","1040904"
"222","07510318","華友聯開發股份有限公司","臺北市中正區愛國東路22號14樓","陸炤廷","690000000","1040917"
"223","07521201","遠興貿易股份有限公司","臺北市大同區南京西路22號5樓之3","葉源","25000000","1040917"
"224","07521309","榮興隆機器廠股份有限公司","臺北市士林區延平北路6段466號1樓","王世德","6000000","1040904"
"225","07525620","臺灣藤村工業股份有限公司","新北市中和區錦和路2號2樓","李森榮","15000000","1040915"
"226","07585719","顯榮電子股份有限公司","臺北市中山區錦州街36號4樓","呂宜靜","10000000","1040916"
"227","07615777","皇國興業股份有限公司","臺北市中山區天津街57號","葉富國","26000000","1040910"
"228","07616234","大旺交通事業有限公司","臺北市中正區莒光路91號1樓","呂燕如","5000000","1040902"
"229","07623501","錦榮電工股份有限公司","桃園市中壢區內定里合定路29號","陳金堯","20000000","1040924"
"230","07636196","國紡企業股份有限公司","臺北市中山區南京東路2段66號6樓","戴李瑞婉","108725760","1040909"
"231","07640728","旭城股份有限公司","臺北市文山區景福街160號","鄭正雄","10000000","1040907"
"232","07649278","賓王大旅社股份有限公司","臺北市大同區南京西路163號3、4樓","陳新發","20000000","1040908"
"233","07654089","萬合特殊鋼有限公司","桃園市中壢區定安路13號","林淑興","6000000","1040902"
"234","07675556","康豪貨運交通有限公司","臺北市松山區撫遠街259之1號","康家豪","20000000","1040909"
"235","07677668","盧山軒有限公司","臺北市大同區延平北路2段171號","陳寬宏","1000000","1040907"
"236","07692627","尚燁工業股份有限公司","桃園市蘆竹區蘆竹里蘆竹街147號","呂永瑞","59555000","1040930"
"237","07708613","日展纖維企業有限公司","新北市三重區重新路5段609巷18號5樓之8","薛道明","26880000","1040930"
"238","07719267","瑞鎰電機股份有限公司","臺北市內湖區南京東路6段346號7樓之2","林泰炫","43750000","1040903"
"239","07727560","佳維貿易有限公司","臺北市大同區甘谷街35號10樓之3","林珠","5000000","1040911"
"240","07729080","台灣原生藥用植物股份有限公司","臺北市內湖區瑞湖街88號5樓","蘇慶華","759238910","1040923"
"241","07731810","新集興實業股份有限公司","新北市汐止區大同路3段621號6樓之7","鄭宏源","29000000","1040922"
"242","07932746","善統工業股份有限公司","高雄市湖內區中山路1段848巷12號","謝素媚","50000000","1040901"
"243","08096909","臺東縣肉品市場股份有限公司","臺東縣臺東市豐原里中華路4段861巷350號","黃健庭","24580000","1040925"
"244","09401982","霖愷企業有限公司","新北市永和區保生路22巷14號","林更剛","5000000","1040916"
"245","09405299","九合工程股份有限公司","新北市泰山區明志路3段517號4樓","王贊傑","120000000","1040918"
"246","09406467","南華通訊服務有限公司","臺北市中正區羅斯福路3段100號12樓之9","曾胡英","5000000","1040909"
"247","09406847","長澤工程有限公司","基隆市安樂區基金一路208巷174弄12號2樓","張文漢","12000000","1040909"
"248","09444342","福華產業股份有限公司","臺北市大安區仁愛路3段160號4樓","廖修鐘","3000000","1040914"
"249","09444482","台灣唯綠包裝股份有限公司","新竹縣湖口鄉中興村工業一路5號","陸勵強(John Philip Rooney)","1000000","1040925"
"250","09445497","富傑工業股份有限公司","臺北市大安區東豐街1號3樓","許振泰","18000000","1040916"
"251","09459148","偉仕育樂用品有限公司","臺北市大安區通化街166之2號1樓","蕭武雄","8000000","1040904"
"252","09462663","旭地建設股份有限公司","臺北市內湖區金莊路100號10樓之1","邱明宏","29000000","1040925"
"253","09464640","順合有限公司","臺北市大安區敦化南路2段5號12樓之3","李憲三","10000000","1040908"
"254","09473845","尚立股份有限公司","臺北市內湖區洲子街76號6樓","簡剛民","754560540","1040903"
